"Status","Application Name","Record Type","Assigned to Staff","Assigned Date","Record #","Unit #","Start Fraction","Zip Code","Closed Date","Street #","Dir","Type","Street Name","Short Notes","Opened Date"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00105","","","40219","","6624","","HWY","PRESTON","","12/08/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00104","","","40291","01/29/2024","5306","","RD","BARDSTOWN","","12/08/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00103","","","40214","","5901","","RD","NEW CUT","","12/07/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00102","","","40219","","5370","","RD","RANGELAND","","12/07/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00101","","","40214","","7205","","RD","MANSLICK","","12/07/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00100","","","40211","","3328","","AVE","VIRGINIA","","12/06/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00099","101","","40215","","1842","","BLVD","BERRY","","12/06/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00098","A","","40219","","8110","","RD","BLUE LICK","","12/05/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00097","","","40202","","411","S","ST","2ND","","12/01/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00096","","","40208","","601","","AVE","WINKLER","","11/21/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00095","","","40272","","14009","","HWY","DIXIE","","11/08/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00094","","","40223","","10426","","RD","SHELBYVILLE","","11/03/2023"
"Active","Derby City Gaming","Tobacco Ordinance License","","","LIC-TOBL-23-00093","","","40202","","140","S","ST","4TH","","10/17/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00092","","","40204","01/07/2024","749","","ST","BRENT","","10/05/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00091","","","40214","","5105","","RD","NEW CUT","","10/05/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00090","","","40216","","3802","","HWY","DIXIE","","10/03/2023"
"Revoked","","Tobacco Ordinance License","","","LIC-TOBL-23-00089","","","40217","12/01/2023","2221","","DR","CRITTENDEN","","10/03/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00088","","","40205","","1577","","RD","BARDSTOWN","","09/29/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00087","","","40202","01/07/2024","312","W","ST","CHESTNUT","","09/22/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00086","","","40228","01/07/2024","8303","","RD","ADAMS RUN","","09/22/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00085","","","40272","","11410","","DR","RIVER FALLS","","09/22/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00084","","","40258","","7500","","RD","TERRY","","09/18/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00083","","","40207","","4139","","RD","SHELBYVILLE","","09/18/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00082","","","40228","","6101","","LN","FEGENBUSH","","09/14/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00081","","","40214","","7717","","RD","ST ANDREWS CHURCH","","09/08/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00080","","","40258","","8517","","RD","TERRY","","09/08/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00079","107","","40299","","9569","","RD","TAYLORSVILLE","","08/31/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00078","","","40206","","2347","","AVE","FRANKFORT","","08/28/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00077","","","40209","01/07/2024","937","","LN","PHILLIPS","","08/22/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00076","","","40245","","12440","","RD","LA GRANGE","","08/22/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00075","B1","","40213","","5400","","HWY","PRESTON","","08/11/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00074","","","40203","","1420","W","ST","JEFFERSON","","07/20/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00073","","","40299","","10117","","RD","TAYLORSVILLE","","07/18/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00072","","","40202","","200","E","","BROADWAY","","07/17/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00071","","","40258","","9050","","HWY","DIXIE","","07/14/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00070","","","40215","","4149","","BLVD","TAYLOR","","07/14/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00069","","","40214","01/07/2024","6921","","DR","SOUTHSIDE","","07/13/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00068","102","","40213","","3301","","RD","FERN VALLEY","","07/10/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00067","101","","40213","","3301","","RD","FERN VALLEY","","07/10/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00066","","","40206","","2106","","RD","BROWNSBORO","","07/10/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00065","","","40211","","3337","","AVE","GREENWOOD","","07/05/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00064","","","40212","","4105","W","ST","MARKET","","07/05/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00063","","","40211","","2113","W","","BROADWAY","","06/29/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00062","","","40206","","1961","","RD","BROWNSBORO","","06/28/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00061","109","","40213","01/07/2024","4835","","RD","POPLAR LEVEL","","06/21/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00060","","","40219","","7502","","HWY","PRESTON","","06/14/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00059","","","40218","","3715","","LN","KLONDIKE","","06/14/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00058","","","40214","","802","W","DR","KENWOOD","","06/13/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00057","","","40215","","3416","","BLVD","TAYLOR","","06/13/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00056","","","40216","","2800","","LN","CRUMS","","06/13/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00055","","","40205","","2325","","RD","BARDSTOWN","","06/12/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00054","","","40203","","1525","W","ST","MARKET","","05/23/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00053","","","40205","","1582","","RD","BARDSTOWN","","05/19/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00052","101","","40218","","2200","","AVE","BUECHEL","","05/01/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00051","","","40207","01/07/2024","3786","","RD","LEXINGTON","","05/01/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00050","","","40212","","2620","","AVE","PORTLAND","","04/21/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00049","","","40245","","12908","","LN","FACTORY","","04/20/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00048","","","40203","","700","W","ST","OAK","","04/20/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00047","","","40219","01/07/2024","5370","","RD","RANGELAND","","04/12/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00046","","","40211","","1025","S","ST","28TH","","04/11/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00045","","","40245","","2502","","BLVD","TERRA CROSSING","","04/06/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00044","","","40208","","700","","AVE","CENTRAL","","04/04/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00043","107","","40299","01/07/2024","9569","","RD","TAYLORSVILLE","","04/03/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00042","1","","40214","01/07/2024","4028","S","ST","3rd","","03/27/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00041","","","40204","01/29/2024","622","","AVE","BAXTER","","03/20/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00040","B","","40216","01/07/2024","3007","","HWY","DIXIE","","03/20/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00039","","","40202","","400","S","ST","2ND","","03/16/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00038","","","40210","","1029","S","ST","26TH","","03/15/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00037","","","40207","","4120","","LN","DUTCHMANS","","03/14/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00036","","","40219","","7701","","HWY","PRESTON","","03/14/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00035","","","40216","","4948","","HWY","DIXIE","","03/14/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00034","B1","","40213","01/07/2024","5400","","HWY","PRESTON","","03/10/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00033","","","40218","","3905","","RD","NEWBURG","","03/09/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00032","","","40229","","10515","","HWY","PRESTON","","03/07/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00031","","","40216","","4129","","DR","FLINTLOCK","","03/03/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00030","","","40214","01/07/2024","6627","","DR","SOUTHSIDE","","03/02/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00029","","","40218","","3905","","RD","NEWBURG","","03/02/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00028","","","40212","","118","S","ST","26TH","","02/23/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00027","","","40216","","5909","","RD","TERRY","","02/23/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00026","","","40299","","3501","","DR","3501 College dr","","02/19/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00025","","","40245","","2500","","BLVD","TERRA CROSSING","","02/16/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00024","B","","40218","","3819","","RD","BARDSTOWN","","02/03/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00023","","","40215","01/07/2024","1001","","AVE","BROOKLINE","","02/02/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00022","","","40210","","1233","W","ST","HILL","","02/01/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00021","","","40219","01/29/2024","8506","","RD","SHEPHERDSVILLE","","01/24/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00020","","","40212","01/29/2024","118","S","ST","26TH","","01/24/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00019","","","40258","","6303","","TRCE","LOWER HUNTERS","","01/23/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00018","101","","40229","01/29/2024","5009","","LN","MUD","","01/20/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00017","","","40206","","2115","","AVE","FRANKFORT","","01/18/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00016","","","40291","01/07/2024","8003","","RD","BEULAH CHURCH","","01/17/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00015","","","40211","01/29/2024","3800","","DR","RIVER PARK","","01/13/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00014","","","40299","01/07/2024","1801","","WAY","PRIORITY","","01/12/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00013","","","40203","","500","S","ST","20TH","","01/12/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00012","","","40214","","7205","","RD","MANSLICK","","01/11/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00011","","","40218","","3333","","RD","BARDSTOWN","","01/05/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00578","","","40211","01/31/2023","3328","","AVE","VIRGINIA","","12/29/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00577","","","40217","01/31/2023","796","","PKY","EASTERN","","12/29/2022"
"Active","Happy Smoker","Tobacco Ordinance License","","","LIC-TOBL-22-00576","","","40291","","6306","","RD","BARDSTOWN","","12/22/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00574","","","40216","01/31/2023","4109","","RD","CANE RUN","","12/21/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00573","","H","40210","","1805","W","ST","OAK","","12/20/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00572","","","40241","01/01/2023","11304","","DR","MAPLE BROOK","","12/20/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00571","","","40218","01/01/2023","3301","","RD","NEWBURG","","12/15/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00570","","","40208","","401","","AVE","WINKLER","","12/12/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00569","","","40202","","218","W","BLVD","MUHAMMAD ALI","","11/28/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00568","","","40208","","3004","S","ST","4TH","","11/28/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00567","","","40210","01/07/2024","2300","W","ST","KENTUCKY","","11/18/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00566","","","40212","01/07/2024","2720","","ST","DUNCAN","","11/05/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00565","","","40216","","4100","","HWY","DIXIE","","11/04/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00564","","","40228","01/31/2023","7916","","LN","FEGENBUSH","","11/04/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00563","","","40223","","9814","","RD","LINN STATION","","11/04/2022"
"Active","Zara Smoke Shop II","Tobacco Ordinance License","","","LIC-TOBL-22-00562","","","40204","","2003","","AVE","HIGHLAND","","11/03/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00561","","","40214","01/01/2024","6629","","DR","SOUTHSIDE","","11/01/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00560","","","40258","01/31/2023","5300","","DR","STEPHAN","","10/22/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00559","","","40243","","11800","","RD","SHELBYVILLE","","10/19/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00558","","","40219","","6101","","HWY","PRESTON","","10/17/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00557","","","40212","","2600","","ST","BANK","","10/14/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00555","","","40202","","227","E","ST","MARKET","","10/06/2022"
"Active","J Shepherd","Tobacco Ordinance License","","","LIC-TOBL-22-00554","","","40204","01/07/2024","1429","","RD","BARDSTOWN","","09/28/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00552","","","40204","01/01/2023","982","","AVE","BARRET","","09/19/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00551","","","40202","02/14/2023","101","W","ST","MARKET","","09/15/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00550","","","40218","","2141","","RD","BUECHEL BANK","","09/15/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00549","","","40216","","2121","","LN","CRUMS","","09/15/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00548","B","","40204","01/31/2023","962","","AVE","BAXTER","","09/13/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00547","","","40291","","6752","","RD","BARDSTOWN","","09/12/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00546","","","40203","01/31/2023","2001","","ST","BANK","","09/12/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00545","","","40203","","521","N","ST","22ND","","09/07/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00544","","","40219","01/29/2024","5014","","RD","POPLAR LEVEL","","09/06/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00543","","","40214","01/07/2024","6700","","LN","STRAWBERRY","","09/06/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00542","","","40218","01/29/2024","3303","","RD","NEWBURG","","09/01/2022"
"Expired","7th Street Food Mart","Tobacco Ordinance License","","","LIC-TOBL-22-00541","","","40208","01/07/2024","2517","","RD","7TH STREET","","09/01/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00540","","","40202","01/31/2023","528","W","ST","MAIN","","08/31/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00539","","","40214","01/31/2023","5307","S","ST","3RD","","08/31/2022"
"Active","Golden Gate","Tobacco Ordinance License","","","LIC-TOBL-22-00538","","","40212","","2910","W","ST","JEFFERSON","","08/30/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00537","Grocery","","40059","","5929","","DR","TIMBER RIDGE","","08/23/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00536","Liquor 389","","40059","","5949","","DR","TIMBER RIDGE","","08/23/2022"
"Active","NULU Foodmart","Tobacco Ordinance License","","","LIC-TOBL-22-00534","","","40202","01/01/2024","528","E","ST","LIBERTY","","08/16/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00533","","","40229","","9260","","PKY","Smyrna","","08/15/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00532","","","40220","","4049","","RD","TAYLORSVILLE","","08/12/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00531","","","40216","01/31/2023","3122","","HWY","DIXIE","","08/11/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00530","","","40212","","2620","","AVE","PORTLAND","","08/11/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00529","","","40217","","790","","PKY","EASTERN","","08/11/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00528","","","40118","","503","","RD","MOUNT HOLLY","","08/11/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00527","107","","40299","01/07/2024","9569","","RD","Taylorsville","","08/10/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00526","","","40203","01/01/2024","201","N","ST","19TH","","08/10/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00525","","","40212","","2200","W","ST","MARKET","","08/10/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00524","","","40203","","431","W","ST","OAK","","08/10/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00523","","","40203","","1419","W","ST","JEFFERSON","","08/10/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00522","","","40214","","5312","S","ST","3RD","","08/10/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00521","","","40204","","1250","","RD","BARDSTOWN","","08/10/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00520","","","40220","01/07/2024","3417","","LN","BRECKENRIDGE","","08/10/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00519","","","40214","","6621","","DR","SOUTHSIDE","","08/10/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00518","","","40219","","7100","","HWY","PRESTON","","08/10/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00517","","","40216","","5107","","HWY","DIXIE","","08/10/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00516","","","40206","01/29/2024","3320","","AVE","FRANKFORT","","08/09/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00515","","","40258","01/29/2024","5214","","RD","GREENWOOD","","08/09/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00514","","","40214","01/31/2023","7312","","RD","ST ANDREWS CHURCH","","08/09/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00513","","","40216","","6600","","RD","TERRY","","08/09/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00512","","","40216","01/31/2023","4048","E","HWY","Dixie","","08/09/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00511","basment","","40203","01/31/2023","850","W","BLVD","muhammad ali","","08/08/2022"
"Active","Dong Phuong Grocery","Tobacco Ordinance License","","","LIC-TOBL-22-00510","","","40214","01/31/2023","6705","","LN","STRAWBERRY","","08/08/2022"
"Expired","Cool Breeze Vapor","Tobacco Ordinance License","","","LIC-TOBL-22-00509","","","40291","01/07/2024","5715","","RD","BARDSTOWN","","08/08/2022"
"Active","Cool Breeze Vapor","Tobacco Ordinance License","","","LIC-TOBL-22-00508","","","40219","01/01/2023","4120","","LOOP","OUTER","","08/08/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00507","","","40272","","8601","W","RD","MANSLICK","","08/08/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00506","","","40209","01/31/2023","4309","","DR","CRITTENDEN","","08/08/2022"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-22-00505","","","40223","01/31/2023","214","","LN","DORSEY","","08/08/2022"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-22-00504","","","40204","01/31/2023","1033","E","AVE","1033 Barret Avenue","","08/08/2022"
